chr1	500000	600000	0
chr1	700000	800000	1
chr1	800000	900000	2
chr1	900000	1000000	3
chr1	1000000	1100000	4
chr1	1100000	1200000	5
chr1	1200000	1300000	6
chr1	1300000	1400000	7
chr1	1400000	1500000	8
chr1	1500000	1600000	9
chr1	1600000	1700000	10
chr1	1700000	1800000	11
chr1	1800000	1900000	12
chr1	1900000	2000000	13
chr1	2000000	2100000	14
chr1	2100000	2200000	15
chr1	2200000	2300000	16
chr1	2300000	2400000	17
chr1	2400000	2500000	18
chr1	2500000	2600000	19
chr1	2600000	2700000	20
chr1	2700000	2800000	21
chr1	2800000	2900000	22
chr1	2900000	3000000	23
chr1	3000000	3100000	24
chr1	3100000	3200000	25
chr1	3200000	3300000	26
chr1	3300000	3400000	27
chr1	3400000	3500000	28
chr1	3500000	3600000	29
chr1	3600000	3700000	30
chr1	3700000	3800000	31
chr1	3800000	3900000	32
chr1	3900000	4000000	33
chr1	4000000	4100000	34
chr1	4100000	4200000	35
chr1	4200000	4300000	36
chr1	4300000	4400000	37
chr1	4400000	4500000	38
chr1	4500000	4600000	39
chr1	4600000	4700000	40
chr1	4700000	4800000	41
chr1	4800000	4900000	42
chr1	4900000	5000000	43
chr1	5000000	5100000	44
chr1	5100000	5200000	45
chr1	5200000	5300000	46
chr1	5300000	5400000	47
chr1	5400000	5500000	48
chr1	5500000	5600000	49
chr1	5600000	5700000	50
chr1	5700000	5800000	51
chr1	5800000	5900000	52
chr1	5900000	6000000	53
chr1	6000000	6100000	54
chr1	6100000	6200000	55
chr1	6200000	6300000	56
chr1	6300000	6400000	57
chr1	6400000	6500000	58
chr1	6500000	6600000	59
chr1	6600000	6700000	60
chr1	6700000	6800000	61
chr1	6800000	6900000	62
chr1	6900000	7000000	63
chr1	7000000	7100000	64
chr1	7100000	7200000	65
chr1	7200000	7300000	66
chr1	7300000	7400000	67
chr1	7400000	7500000	68
chr1	7500000	7600000	69
chr1	7600000	7700000	70
chr1	7700000	7800000	71
chr1	7800000	7900000	72
chr1	7900000	8000000	73
chr1	8000000	8100000	74
chr1	8100000	8200000	75
chr1	8200000	8300000	76
chr1	8300000	8400000	77
chr1	8400000	8500000	78
chr1	8500000	8600000	79
chr1	8600000	8700000	80
chr1	8700000	8800000	81
chr1	8800000	8900000	82
chr1	8900000	9000000	83
chr1	9000000	9100000	84
chr1	9100000	9200000	85
chr1	9200000	9300000	86
chr1	9300000	9400000	87
chr1	9400000	9500000	88
chr1	9500000	9600000	89
chr1	9600000	9700000	90
chr1	9700000	9800000	91
chr1	9800000	9900000	92
chr1	9900000	10000000	93
chr1	10000000	10100000	94
chr1	10100000	10200000	95
chr1	10200000	10300000	96
chr1	10300000	10400000	97
chr1	10400000	10500000	98
chr1	10500000	10600000	99
chr1	10600000	10700000	100
chr1	10700000	10800000	101
chr1	10800000	10900000	102
chr1	10900000	11000000	103
chr1	11000000	11100000	104
chr1	11100000	11200000	105
chr1	11200000	11300000	106
chr1	11300000	11400000	107
chr1	11400000	11500000	108
chr1	11500000	11600000	109
chr1	11600000	11700000	110
chr1	11700000	11800000	111
chr1	11800000	11900000	112
chr1	11900000	12000000	113
chr1	12000000	12100000	114
chr1	12100000	12200000	115
chr1	12200000	12300000	116
chr1	12300000	12400000	117
chr1	12400000	12500000	118
chr1	12500000	12600000	119
chr1	12600000	12700000	120
chr1	12700000	12800000	121
chr1	12800000	12900000	122
chr1	12900000	13000000	123
chr1	13100000	13200000	124
chr1	13200000	13300000	125
chr1	13700000	13800000	126
chr1	13800000	13900000	127
chr1	13900000	14000000	128
chr1	14000000	14100000	129
chr1	14100000	14200000	130
chr1	14200000	14300000	131
chr1	14300000	14400000	132
chr1	14400000	14500000	133
chr1	14500000	14600000	134
chr1	14600000	14700000	135
chr1	14700000	14800000	136
chr1	14800000	14900000	137
chr1	14900000	15000000	138
chr1	15000000	15100000	139
chr1	15100000	15200000	140
chr1	15200000	15300000	141
chr1	15300000	15400000	142
chr1	15400000	15500000	143
chr1	15500000	15600000	144
chr1	15600000	15700000	145
chr1	15700000	15800000	146
chr1	15800000	15900000	147
chr1	15900000	16000000	148
chr1	16000000	16100000	149
chr1	16100000	16200000	150
chr1	16200000	16300000	151
chr1	16300000	16400000	152
chr1	16400000	16500000	153
chr1	16500000	16600000	154
chr1	16600000	16700000	155
chr1	16700000	16800000	156
chr1	16800000	16900000	157
chr1	16900000	17000000	158
chr1	17000000	17100000	159
chr1	17100000	17200000	160
chr1	17200000	17300000	161
chr1	17300000	17400000	162
chr1	17400000	17500000	163
chr1	17500000	17600000	164
chr1	17600000	17700000	165
chr1	17700000	17800000	166
chr1	17800000	17900000	167
chr1	17900000	18000000	168
chr1	18000000	18100000	169
chr1	18100000	18200000	170
chr1	18200000	18300000	171
chr1	18300000	18400000	172
chr1	18400000	18500000	173
chr1	18500000	18600000	174
chr1	18600000	18700000	175
chr1	18700000	18800000	176
chr1	18800000	18900000	177
chr1	18900000	19000000	178
chr1	19000000	19100000	179
chr1	19100000	19200000	180
chr1	19200000	19300000	181
chr1	19300000	19400000	182
chr1	19400000	19500000	183
chr1	19500000	19600000	184
chr1	19600000	19700000	185
chr1	19700000	19800000	186
chr1	19800000	19900000	187
chr1	19900000	20000000	188
chr1	20000000	20100000	189
chr1	20100000	20200000	190
chr1	20200000	20300000	191
chr1	20300000	20400000	192
chr1	20400000	20500000	193
chr1	20500000	20600000	194
chr1	20600000	20700000	195
chr1	20700000	20800000	196
chr1	20800000	20900000	197
chr1	20900000	21000000	198
chr1	21000000	21100000	199
chr1	21100000	21200000	200
chr1	21200000	21300000	201
chr1	21300000	21400000	202
chr1	21400000	21500000	203
chr1	21500000	21600000	204
chr1	21600000	21700000	205
chr1	21700000	21800000	206
chr1	21800000	21900000	207
chr1	21900000	22000000	208
chr1	22000000	22100000	209
chr1	22100000	22200000	210
chr1	22200000	22300000	211
chr1	22300000	22400000	212
chr1	22400000	22500000	213
chr1	22500000	22600000	214
chr1	22600000	22700000	215
chr1	22700000	22800000	216
chr1	22800000	22900000	217
chr1	22900000	23000000	218
chr1	23000000	23100000	219
chr1	23100000	23200000	220
chr1	23200000	23300000	221
chr1	23300000	23400000	222
chr1	23400000	23500000	223
chr1	23500000	23600000	224
chr1	23600000	23700000	225
chr1	23700000	23800000	226
chr1	23800000	23900000	227
chr1	23900000	24000000	228
chr1	24000000	24100000	229
chr1	24100000	24200000	230
chr1	24200000	24300000	231
chr1	24300000	24400000	232
chr1	24400000	24500000	233
chr1	24500000	24600000	234
chr1	24600000	24700000	235
chr1	24700000	24800000	236
chr1	24800000	24900000	237
chr1	24900000	25000000	238
chr1	25000000	25100000	239
chr1	25100000	25200000	240
chr1	25200000	25300000	241
chr1	25300000	25400000	242
chr1	25400000	25500000	243
chr1	25500000	25600000	244
chr1	25600000	25700000	245
chr1	25700000	25800000	246
chr1	25800000	25900000	247
chr1	25900000	26000000	248
chr1	26000000	26100000	249
chr1	26100000	26200000	250
chr1	26200000	26300000	251
chr1	26300000	26400000	252
chr1	26400000	26500000	253
chr1	26500000	26600000	254
